lead_I,lead_II,lead_III,lead_V1
0.003906,0.001835,0.002453,0.003466
0.003023,0.001573,0.00238,0.006147
0.004414,0.007675,0.002041,0.006339
0.005426,0.001947,0.00423,0.002354
0.00256,0.004168,0.001906,0.000725
0.001149,0.00192,0.004052,0.002728
0.001883,0.001404,0.003776,0.002137
0.002777,0.001106,0.001964,0.001342
0.004524,0.004854,0.004783,0.003341
0.004755,0.005044,0.00224,0.001179
0.003397,0.000994,0.002256,0.00154
0.002052,0.000325,0.001517,0.005345
0.000237,0.002649,0.003533,0.005522
0.005877,0.004549,0.006339,0.004126
0.003049,0.001338,0.002899,0.003847
0.003178,0.001504,0.003533,0.004474
0.002896,0.002398,0.002887,0.001287
0.003761,0.001509,0.00242,0.002415
0.005653,0.001144,0.001323,0.005086
0.004468,0.002514,0.000931,0.002385
0.003856,0.005703,0.001954,0.00287
0.003905,0.005978,0.003796,0.002715
0.004101,0.005875,0.002792,0.002589
0.003653,0.002404,0.004455,0.003636
0.00291,0.001886,0.004226,0.001997
0.000332,0.003863,0.002768,0.002225
0.0026,0.000638,0.003114,0.002511
0.001291,0.001387,0.001873,0.000673
0.002247,0.002148,0.001533,0.000803
0.001243,0.002235,0.001819,0.001972
0.001192,0.001245,0.001475,0.001284
0.000822,0.002004,0.001591,0.002496
0.003016,0.002627,0.002872,0.00256
0.002729,0.003023,0.00337,0.001097
0.006112,0.002358,0.004486,0.003241
0.003346,0.000479,0.002817,0.002301
0.003962,0.003654,0.00443,0.003396
0.003849,0.005929,0.003087,0.001507
0.002091,0.005338,0.000619,0.000875
0.004016,0.004298,0.001569,0.000209
0.004197,0.004052,0.001385,0.000707
0.000823,0.0053,0.00048,0.001527
0.003059,0.006237,0.001189,0.003101
0.006763,0.002096,0.007099,0.002309
0.008466,0.005927,0.010448,0.004331
0.005546,0.00536,0.00545,0.004294
0.007484,0.007558,0.002225,0.001769
0.003686,0.012079,0.003994,0.003596
0.007144,0.004888,0.012146,0.008632
0.011958,0.007886,0.017146,0.009137
0.00636,0.00184,0.008969,0.005436
0.005155,0.005305,0.000177,0.003166
0.008614,0.00297,0.000762,0.005206
0.008589,0.008648,0.006224,0.010205
0.011196,0.004216,0.00886,0.003245
0.002264,0.003275,0.00904,0.001408
0.004209,0.007355,0.004834,0.005304
0.007201,0.001672,0.007582,0.010806
0.00247,0.004858,0.0033,0.008558
0.005749,0.000647,0.005116,0.005477
0.005771,0.004058,0.003831,0.004144
0.00625,0.001644,0.001259,0.002689
0.003409,0.005387,0.002795,0.006346
0.003042,0.000706,0.004022,0.002368
0.004223,0.002934,0.00225,0.0011
0.002003,0.004871,0.0015,0.000944
0.002733,0.000742,0.002892,0.002269
0.000348,0.002626,0.002793,0.005173
0.0017,0.00253,0.003277,0.003185
0.002094,0.002434,0.002393,0.002726
0.000657,0.001349,0.004091,0.001921
0.002345,0.003645,0.002465,0.003562
0.003442,0.001053,0.004576,0.002426
0.003225,0.003595,0.00521,0.004093
0.003372,0.006064,0.005115,0.0029
0.016787,0.018168,0.013273,0.016563
0.014737,0.011834,0.016469,0.008949
0.004405,0.007119,0.005195,0.009052
0.003288,0.004471,0.002966,0.007505
0.00374,0.002686,0.003207,0.003763
0.022046,0.018417,0.017182,0.017544
0.020639,0.00818,0.011933,0.011029
0.006394,0.008792,0.007717,0.004804
0.007457,0.004893,0.002764,0.004633
0.008483,0.001466,0.002951,0.005522
0.006568,0.00389,0.002846,0.003546
0.007989,0.00501,0.006196,0.00366
0.011844,0.006001,0.009288,0.003269
0.007037,0.0035,0.007245,0.002456
0.002448,0.002924,0.007349,0.00307
0.002255,0.002016,0.005129,0.003556
0.003472,0.00304,0.002329,0.003945
0.003258,0.006467,0.002465,0.00194
0.002106,0.002458,0.000662,0.002202
0.002372,0.001954,0.002981,0.001038
0.001806,0.00263,0.002148,0.002715
0.005625,0.00475,0.001359,0.003178
0.004759,0.006789,0.000919,0.000952
0.004742,0.003266,0.003177,0.001326
0.001137,0.003855,0.000166,0.003575
0.004055,0.000501,0.003501,0.001193
0.003033,0.001925,0.003418,0.002072
0.004098,0.002197,0.004331,0.005983
0.003764,0.004474,0.008058,0.004332
