joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24
0.191162,0.142768,-0.607637,-0.400034,0.160522,-0.799746,-0.580943,-0.507277,-0.52924,0.621864,-0.403496,-0.79721,-0.013472,0.011749,-0.616668,-0.026562,0.019387,-0.815148,-0.063145,-0.054839,-0.574533,-0.116837,0.037394,-0.955515
0.005195,0.160253,-1.139059,-0.005524,0.168915,-1.32356,-0.719671,-0.452793,-0.553927,0.802255,-0.344211,-0.783424,-0.22863,0.01398,-0.849091,0.303497,0.023727,-1.133445,-0.082791,0.170758,-0.944152,0.233056,0.051946,-1.35423
-0.685412,0.112887,-1.449198,0.942327,0.091815,-1.747226,-0.948425,-0.418161,-0.189371,0.99709,-0.325024,-0.527724,-0.91075,-0.197154,-0.835534,1.028665,-0.085281,-1.207477,-0.69527,0.133362,-1.138033,0.998388,-0.103386,-1.493602
-1.200008,0.113574,-1.601577,1.584034,0.04352,-1.636803,-0.998677,-0.346398,-0.278802,1.040205,-0.229368,-0.543788,-1.193211,-0.059104,-1.097806,1.423455,-0.071783,-1.198867,-1.189196,0.121472,-1.361614,1.484539,-0.118806,-1.446228
-1.709694,0.117772,-1.469083,2.025767,0.026741,-1.233191,-1.061813,-0.26493,-0.287006,1.123003,-0.196429,-0.519392,-1.491193,-0.04371,-1.040374,1.755983,-0.058953,-1.02325,-1.609157,0.131659,-1.318451,1.925255,-0.096493,-1.171538
-2.22348,0.226861,-1.193408,2.43238,0.049885,-0.852137,-1.198234,-0.143717,-0.209549,1.273597,-0.104276,-0.382457,-1.860644,0.076635,-0.857533,2.036992,-0.025465,-0.677982,-1.902037,0.213391,-1.098552,2.218481,-0.101972,-0.730646
-2.462651,0.256609,-0.923747,2.540236,0.008469,-0.526888,-1.248501,-0.108621,-0.151463,1.283861,-0.08386,-0.279546,-1.92243,0.067667,-0.715137,2.042759,-0.057002,-0.432423,-2.167809,0.156017,-1.021723,2.312375,-0.135469,-0.47744
-2.57155,0.290668,-0.724439,2.663769,0.045475,-0.177403,-1.297149,0.002918,0.024683,1.319438,-0.00983,-0.093652,-2.003552,0.133344,-0.540675,2.143131,-0.020102,-0.15675,-2.272457,0.115737,-0.752656,2.418534,-0.095192,-0.181248
-2.57545,0.265222,-0.637207,2.699582,0.057144,0.01277,-1.299113,0.018763,0.044286,1.307241,-0.001922,-0.035438,-2.085954,0.145418,-0.499482,2.163342,-0.023371,-0.020368,-2.279023,0.101967,-0.66574,2.464982,-0.090881,-0.02745
-2.579357,0.248861,-0.588007,2.681279,0.0989,0.150099,-1.297013,0.027851,0.017026,1.30383,0.010226,0.002175,-2.039364,0.12789,-0.432338,2.135973,-0.013372,0.063015,-2.254886,0.092068,-0.615598,2.449154,-0.063689,0.073814
-2.56688,0.264073,-0.546884,2.683788,0.131461,0.209717,-1.300093,0.030004,0.006149,1.304031,0.017519,0.029092,-2.070759,0.127858,-0.417693,2.130092,0.004168,0.112533,-2.277679,0.090333,-0.587086,2.467914,-0.031429,0.136232
-2.515755,0.205632,-0.556551,2.610519,0.10517,0.178025,-1.285587,0.031814,-0.002368,1.284343,0.018055,0.036826,-2.05614,0.11806,-0.405258,2.095197,0.008355,0.119428,-2.217844,0.049132,-0.585356,2.412895,-0.041257,0.115271
-2.491096,0.084642,-0.584592,2.574089,0.02365,0.109114,-1.244674,-0.002329,-0.034739,1.270895,0.00909,0.03695,-2.059324,0.060873,-0.413689,2.097869,-0.009698,0.105164,-2.185305,-0.02885,-0.620283,2.342241,-0.112587,0.078774
-2.475722,-0.234063,-0.678757,2.50512,-0.264604,-0.090203,-1.263819,-0.145325,-0.076049,1.244605,-0.09218,0.001684,-2.03309,-0.267839,-0.495245,1.992035,-0.208078,-0.043001,-2.211978,-0.311522,-0.736764,2.195447,-0.326162,-0.014535
-2.406781,-0.667264,-0.701733,2.515336,-0.575151,-0.272471,-1.187601,-0.325178,-0.167123,1.225419,-0.230616,-0.045464,-1.968413,-0.617955,-0.616708,2.015966,-0.456615,-0.175841,-2.257721,-0.626669,-0.868471,2.195196,-0.584724,-0.149877
-2.087224,-1.159428,-0.790072,2.296626,-0.963717,-0.408731,-1.076234,-0.465408,-0.143936,1.165391,-0.384531,-0.08945,-1.639312,-0.937732,-0.544076,1.822717,-0.721148,-0.294844,-1.806082,-0.964238,-0.877498,1.978454,-0.856685,-0.263131
-1.642157,-1.504487,-0.789253,2.017771,-1.344943,-0.640999,-0.947777,-0.593737,-0.171281,1.07908,-0.521132,-0.127969,-1.315851,-1.119114,-0.482096,1.688382,-1.024318,-0.418503,-1.470001,-1.295281,-0.8254,1.877027,-1.26255,-0.445598
-1.282398,-1.718955,-0.72329,1.654784,-1.605894,-0.723217,-0.851419,-0.733028,-0.133497,0.960447,-0.651517,-0.168554,-1.097815,-1.316,-0.466214,1.375117,-1.190419,-0.475805,-1.167616,-1.568908,-0.829048,1.552523,-1.493287,-0.608751
-0.944309,-1.863768,-0.676591,1.244659,-1.764524,-0.766584,-0.730745,-0.803033,-0.114307,0.851869,-0.744471,-0.196661,-0.877373,-1.430358,-0.419888,1.092036,-1.32476,-0.533714,-0.874324,-1.667164,-0.729048,1.255372,-1.62868,-0.699047
-0.532257,-1.951128,-0.602897,0.613929,-1.900406,-0.917028,-0.565839,-0.827336,-0.105351,0.679789,-0.834407,-0.223743,-0.648229,-1.522858,-0.400495,0.703463,-1.611346,-0.686295,-0.460481,-1.670874,-0.649469,0.729152,-1.64928,-0.801592
-0.538328,-1.951179,-0.609554,0.442938,-1.88469,-0.794889,-0.550196,-0.837821,-0.105483,0.643968,-0.817168,-0.223008,-0.597672,-1.502877,-0.401886,0.627078,-1.620468,-0.702724,-0.428483,-1.666122,-0.679415,0.54709,-1.781419,-0.725489
-0.713343,-1.836057,-0.588673,0.587632,-1.945985,-0.809144,-0.558298,-0.819868,-0.081027,0.645137,-0.803103,-0.215657,-0.664971,-1.463973,-0.360851,0.653576,-1.607941,-0.701417,-0.718522,-1.490512,-0.504555,0.733169,-1.649305,-0.800432
-0.742404,-2.027208,-0.586169,0.695146,-1.924882,-0.810688,-0.58632,-0.817679,-0.05817,0.669241,-0.797565,-0.219923,-0.740307,-1.577778,-0.433002,0.76356,-1.463721,-0.630478,-0.767244,-1.756,-0.682146,0.81356,-1.605599,-0.815555
-0.823212,-1.904219,-0.618892,0.794805,-1.901444,-0.810141,-0.613651,-0.810427,-0.054531,0.688313,-0.793419,-0.228416,-0.778353,-1.45362,-0.387714,0.806686,-1.473299,-0.636577,-0.774497,-1.694278,-0.669887,0.722821,-1.696923,-0.816303
-0.801864,-1.989788,-0.612767,0.822522,-1.920636,-0.807419,-0.640046,-0.824845,-0.067174,0.692915,-0.797821,-0.242101,-0.805883,-1.528801,-0.425648,0.833278,-1.483425,-0.644917,-0.778381,-1.726662,-0.68518,0.791354,-1.66717,-0.84923
-0.762702,-1.97089,-0.594036,0.780205,-1.917409,-0.800846,-0.631316,-0.813798,-0.062469,0.697734,-0.823506,-0.245582,-0.783028,-1.504435,-0.411835,0.832915,-1.484693,-0.637065,-0.723853,-1.722913,-0.665638,0.713588,-1.697936,-0.819915
-0.682196,-1.993546,-0.581588,0.747599,-1.902126,-0.776906,-0.614506,-0.81203,-0.057375,0.696126,-0.839331,-0.240177,-0.750187,-1.53588,-0.410385,0.818975,-1.483089,-0.616786,-0.648254,-1.734837,-0.649546,0.670227,-1.707901,-0.787852
